연도,부처명,담당부서명,세부사업명,사업내용,훈련기관,훈련대상
2015,미래창조과학부,융합신산업과,DB 전문인력 양성/_빅데이터 아카데미,  빅데이터 전문인력 양성 체계 개발 및 시장수요에 대응한 빅데이터 전문가 육성,한국데이터베이스진흥원,빅데이터 직무 역량 및 경력 고려하여 /선발(3년 이상 경력/재직자)
2015,미래창조과학부,인터넷정책과,인터넷광고 유통기반 조성/ _온라인광고 전문가 인력양성,  온라인광고의 특성 및 산업 구조에 대한 전반적 이해도 제고 및 업계 수요에 기반한 /실무형 인재 양성교육 제공 및 우수 수료생 선발을 통한 취업연계 프로그램 운영,한국온라인광고협회,취업준비자 및 업계재직자/(나이 및 학력제한 없음)
2015,미래창조과학부,정보문화지원과,1· 장애인정보화교육/2· 고령층정보화교육/3· 신소외계층 정보화교육/4· 정보화교육강사지원단/ _강사 양성 및 보수교육,"1· 장애인정보화교육: 장애인의 정보활용 능력을 배양하고 직업재활 기회를 제공하여 /   장애인들의 삶의 질 향상/2· 고령층정보화교육: 고령층의 정보활용 능력을 배양하고 ICT기반의 창업기회를 /   제공하여 세대간 소통을 증진하고 장노년층의 사회·경제적 참여기회 확대 /3· 신소외계층 정보화교육: 결혼이민자의 기초 정보활용능력을 배양하고 다문화 가정 /    IT 방문지도사로 양성하여 국내 정착 지원 /4· 정보화교육강사지원단_강사 양성 및 보수교육: 정보화 강사가 부족한 지역아동/   센터, 복지관등에 정보화 전문강사를 파견하여 교육을 지원하여 저소득층 아동 /   등 소외계층의 정보활용능력 제고","지자체, 한국정보화진흥원","장애인, 고령층, 신소외계층,정보화강사 등"
2015,미래창조과학부,정보문화지원과,인터넷중독 전문인력 양성,"  범국민 정보윤리교육, 인터넷중독 예방상담, 사이버범죄 예방교화 등 사업을 통해 /정보화 역기능의 사회적 피해를 최소화",한국정보화진흥원,"상담관련 국가공인자격증 소지자,/상담 기관 실무 경력 (상근) 3년 이상,/상담 관련 전공 대학원 수료 이상 중 1개 /이상 해당자"
2015,미래창조과학부,정보보호지원과,1· 우수두뇌 양성 프로그램 운영/ _차세대 보안리더 인력양성/2· 정보보호 인력양성 인프라 확충/ _정보보호 특성화대학 기반강화,"1· 우수두뇌 양성 프로그램 운영: 국가 사이버 위협에 대비하고, 창조경제의 신성장/   동력인 정보보호 산업의 활성화를 위하여 최정예 정보보호 분야 인력 양성/2· 정보보호 인력양성 인프라 확충: 정보보호 전문인력의 저변확대 및 인력양성 /   인프라 확충을 위한 대학정보보호동아리, 정보보호 특성화대학 기반강화 등",1· 한국정보기술연구원 /2· 한국인터넷진흥원,1· 차세대보안리더 양성/  : 정보보호 진학 및 취업 희망자/    (35세 미만 청년/실업자)/2· 정보보호 특성화대학/  : 정보보호 취업 및 창업 희망자(재학생)
2015,미래창조과학부,정보보호지원과,공인인증서 안전 이용 인식 제고 및 /국제협력_전자서명인증관리체계 /전문가 교육,  국외 PKI 관련 기술 및 정책 등 정보교류 및 공인인증서 안전이용을 위한 인식/제고를 통한 신뢰성 있는 공인인증서비스 이용환경 조성,한국인터넷진흥원,"공인인증기관, PKI 업체 등"
2015,미래창조과학부,정보통신방송/기술정책과,"국제 ICT 표준화 연구/ _표준화 포럼 지원, 표준화 전문가 /  양성, ITU 등 국제표준화활동 대응/  등","  세계 사실표준화기구의 전략적 대응을 위한 ICT 표준화 포럼 지원 및 국제표준화/전문가 육성·지원, 국제표준화기구(ITU, APT 등) 주요 연구과제 분석, 기고서 개발 및 /국제표준화 반영을 통해 국제표준화 대응 역량 강화/  ① ICT 국제표준화전문가 양성: ICT 국제 사실표준화기구 등의 회의 참가에 필요한 /     이론적 배경과 실무적 소향 함양을 위한 교육 /  ② ITU 국제표준화전문가 교육 : ITU 국제표준화 활동에 대한 전문가 역량을 /     강화하고 신규국제표준화전문가를 육성하기 위한 교육 ",한국정보통신기술협회,① ICT 국제표준화 전문가 양성/   : ICT 국제 사실표준화기구 등 회의에/    참석하고자 하는 재직자 및 학생/②  ITU 국제표준화 전문가 교육/   : ITU 국제회의 참석 하고자 하는/     재직자 및 학생
2015,미래창조과학부,정보통신산업과,3D프린팅 인력양성/_3D프린팅강사 및 전문인력 양성 등,"  2020년까지 진행되는 『3D프린팅 창의 메이커스 1,000만 양성』목표의 일환으로 /3D프린팅교육기반 조성을 위한 수준별(일반·전문) 강사 교육 및 재직자, 학제간 /교육 등의 3D프린팅 전문 인력 양성",한국생산성본부,"①일반강사 과정: 일반인, 초·중고생 등의 /   교육을 위해 3D프린팅에 일정 수준의 /   역량을 보유한 자/②전문강사 과정: 기존 일반 강사양성/   과정 수료자 또는 3D 프린팅 상급 /   이상의 경력자/③재직자 과정: 3D프린팅에 관심있는 /   재직자/④학제간 과정: 3D프린팅 관련 학과 /   대학(원)생"
2015,미래창조과학부,창조경제기반과,창조경제타운 구축·운영/ _아이디어 멘토링 체계 운영/ _창업 지식 교육 및 /  오프라인 멘토링 실시/ _사업화·창업 마인드 제고를 위한/  집합교육 프로그램 운영,"  전 국민이 참여하는 국민의 상상력·아이디어에서 사업화·창업에 이르는 과정을 /지원하고, 창조경제 성공사례를 지속적으로 도출·확산",창조경제타운,"사업화, 창업하고자 하는 자신의 창의적 /아이디어를 보유한 국민 누구나(개인, 예비·/초기 창업자, 벤처 등)참여가능"
2015,미래창조과학부,창조경제진흥과,아이디어 사업화 교육 프로그램 운영,  지역의 창조경제가 활성화 되도록 지역창조경제혁신센터를 통해 지역인재의 /창업마인드 함양 및 아이디어 사업화를 위한 교류·협업 지원,창조경제혁신센터,"대학(원)생/예비 창업자, /과학기술연구개발자(연구원), /산업계 종사자, 일반인(직장인)"
2015,방송통신위원회,방송기반국/시정자지원팀,"미디어교육 및 권익증진활동 지원/ _학교사회복지시설 등 미디어교육 /  활동지원, 미디어교육 강사 양성 등","  시청자를 대상으로 미디어 방송제작·활용 교육, 방송 제작지설·장비 대여, /지역방송사 장애인방송 제작 등을 지원하여 시청자 권익 증진 및 미디어 /이용격차 해소","6개 시청자미디어센터/ (부산, 광주, 대전, 강원, 인천, 서울)","미디어교육 강사로서 경험이 있거나 미디어 /교육에 관심이 있는자, 미디어에 대한 기본 지식이 있는 자"
2015,방송통신위원회,방송기반국/시청자지원팀,장애인방송물 제작 지원/ _장애인방송 제작여건이 열악한 지역/  방송사자막 및 화면해설방송 제작/  지원 및 인력교육/  (시청자미디어센터 활용),"  시·청각장애인 등 소외계층의 TV시청을 돕기 위해 방송사업자의 장애인방송프로그램 /제작을 지원(자막 수화 화면해설 등) /· 폐쇄자막 제작실습, 화면해설 창작실습","6개 시청자미디어센터/ (부산, 광주, 대전, 강원, 인천, 서울)",일반 시민 및 장애인방송이나 장애인 복지에 /관심이 있는 자
2015,법무부,보호관찰과,한국법무보호복지공단 사업비/ _직업훈련,"  형사처분이나 보호처분을 받은 대상자에게 취업에 용이한 직종의 자격증 취득 /지원, 일정한 기술이 없어 취업에 애로가 있는 대상자에게 본인의 희망·적성·경력 /등을 고려하여 취업에 용이한 직종의 자격증을 취득하도록 지원하여 근로활동 장려",민간 직업훈련 학원,형사처분이나 보호처분을 받은 자 중 /직업훈련을 신청한 자
2015,법무부,소년과,1· 직업능력개발훈련/ _소년원생 직업 훈련/2· 직업능력개발훈련_직업훈련,"1· 소년원생 직업훈련: 직업능력개발훈련과정 운영 내실화·전문화로 현장실무형 전문/   인력양성(정기 및 상시검정을 통한 자격취득 활성화), 산업수요와 연계한 맞춤형/   교육과정 운영, 출원후 성공적 사회정착 지원, 고용노동부, 중소기업청 등 관련 /   부처 및 기관과  협력을 통한 취업지원 등 운영, 소년원 출원생의 재범방지와 /   안정적인 사회복귀를 돕기 위한 직업훈련 교육센터 건립, 운영/2· 직업훈련: 소년원 출원생의 재범방지와 안정적인 사회복귀를 돕기 위한 직업훈련 /   교육센터 건립, 운영, 소년원 출원생에게 직업훈련 분야별 전문 심화교육 후 취업을 /   연계하는 중간처우시설운영, 맞춤형 교육을 통해 현장취업으로 연계해 소년원 /   출원생의 재범요인 제거",1· 소년원/2· 한국소년보호협회,"1· 소년원생직업훈련/   : 소년원생(9호, 10호처분)/2· 직업훈련/   : 소년원출원생 등 불우위기 청소년/    (16세이상 22세미만)"
2015,법무부,여성아동인권과,진술조력인 양성 및 자격관리/ _진술조력인 신규 10명 양성,  진술조력인을 양성하여 배치함으로써 성폭력·아동학대 피해 아동·장애인의 2차 /피해 방지 및 권익 보호,법무부,아동·장애인의 심리나 의사소통에 관한 /전문 지식 또는 관련 분야 종사 경력이 /있는 사람
2015,법무부,인권구조과,(국정) 범죄피해자 자립지원/ _취업 지원 프로그램 운영,"  범죄피해자에 대한 상담, 경제·의료지원, 신변보호, 홍보·훈련 등을 통하여 피해자의 /원상회복을 돕는 범죄피해자지원센터에 대한 지원",범죄피해자지원센터,범죄피해자 및 가족
2015,법무부,직업훈련과,(수형자)직업훈련,  수형자에게 취업에 유용한 기술을 습득시켜 출소 후 자립기반 지원,33개 교정시설,교도소 및 구치소 수용자/(경비처우등급 S4 이상)
2015,법무부,출입국기획과,한국사회이해 강사양성 위탁,  법무부 ABT 대학은 한국사회이해전문과정을 개설하여 한국사회이해과정 강사와/다문화 관련자들에게 전문적인 지식을 쌓을 기회를 제공,"법무부ABT대학(숙명여대, 성결대 등)","한국사회이해과정 강사,/다문화 관련 종사자"
2015,보건복지부,건강증진과,금연전문가양성사업,"  금연에 대한 전반적 이해를 통해 금연교육과 상담활동에 적극적으로 참여하고, 국가/금연지원사업에 참여할 전문가 양성",국가금연지원센터,금연사업담당자 및 보건의료학계 전문가
2015,보건복지부,기획조정담당실,사업비_교육사업,"  보건복지 관련 업무에 종사하는 자 등에게 전문성을 높이는 기회를 제공하고,/보건복지 분야의 발전을 도모하여 국민의 삶의 질 향상에 기여하는 교육 제공/  ①집합교육: 보건복지부 교육 및 복지행정, 사회서비스, 보건생명, 건강증진분야 /    종사자별 역량강화 교육/  ②사이버교육사업: 보건복지 인력증가에 따른 교육수요에 대응하는 다양한 사이버/    교육 서비스 제공",한국보건복지인력개발원,해당 교육분야 공무원 및 종사자
2015,보건복지부,보건산업진흥과,실험실 공동시설 활용 및 전문 인력/교육_전문인력양성 교육비,"  대외 시장개방에 능동적으로 대처하고, 내수 위주의 화장품산업을 글로벌 경쟁력을 /갖춘 수출산업으로 육성하고, 산업계의 수요에 부응한 인재육성을 위한 맞춤형 인력/양성 사업/  ①화장품 GMP전문인력양성교육 : 국내 화장품 GMP 기준 강화에 대응한 국제적인 /    역량을 갖춘 현장 전문기술인력 양성/  ②화장품산업입문교육 : 국내 우수인재를 화장품산업계로 확보하기 위한 화장품 /    기본 입문 양성교육/  ③마케팅교육 : 화장품산업 발전을 위한 차별화 된 전문 마케팅 교육실시로 업계 /   요구에 맞춘 화장품 마케팅 전문인력 양성 ","대한화장품산업연구원, /한양대학교 경영전문대학원",① 화장품GMP전문인력양성교육/  : 화장품업계 종사자/② 화장품산업입문교육: 재학생/③ 마케팅교육: 화장품업계 종사자
2015,보건복지부,보건산업진흥과,의료기기산업전문인력양성,  의료기기산업에 특화된 실무형 고급 융합 전문인력 양성을 위한 의료기기특성화 /대학원 지속 운영,"동국대학교, /성균관대학교 의료기기산업학과",의료기기특성화 대학원 석·박사
2015,보건복지부,복지정책과,직무능력향상교육(재직자),"  민간사회복지사업(서비스업 포함)종사자를 대상으로 사회복지현장이 요구하는 /직무 기술(직무필수, 직무공통, 직무개발, 직무역량, 직무특수, 직무양성)을 직무능력 /수준별로 교육함으로써 해당 종사자의 전문성 배양",한국사회복지협의회,민간 사회복지사업 종사자
2015,보건복지부,사회서비스/사업과,산모신생아건강관리사지원,  지자체가 돌봄·재활·상담 등 지역 특성과 수요에 맞는 사회서비스 제공을 위해 지역/주민 맞춤형 사회서비스 지원,전담기관(교육사업 수탁기관),"산모신생아도우미(여성, 중장년)"
2015,보건복지부,생명윤리정책과,연구윤리 지원을 위한 IRB 전문인력 /양성사업/1· 연구자 및 IRB평가인증전문가/   양성/2· IRB 행정간사 및 위원(장) 교육,"  우리나라 연구의 국제적 신인도 향상 및 IRB 역량 강화를 위한 전문 교육 프로그램 /운영, ’IRB 평가·인증사업‘ 도입(’16년 예정)을 위하여 평가를 수행할 수 있는 전문가 /양성 프로그램 운영",한국보건산업진흥원,"1· 연구자 및 IRB 평가인증 전문가 양성/  : 연구자, IRB 평가인증 전문가 등/2·  IRB 행정간사 및 위원(장) 교육/  : IRB 행정간사 및 위원(장)"
2015,보건복지부,요양보험제도과,친고령 연구·산업 전문인력 양성/(친고령 특성화 대학원 지정·운영),"  고령인구에 대한 정책, 관리, 산업, 비즈니스의 다제학간 융복합 지식을 갖춘 전문/인력양성, '친고령' 특성화 대학원 지정·운영 지원(대학 내 고령친화산업 학위/(석·박사)과정 실치 지원)",친고령 특성화대학원(2개 대학원),15년 2학기부터 전공 학위과정 설치 및 /신입생 선발할 수 있는 대학
2015,보건복지부,응급의료과,1· 현장 응급의료종사자 전문화 교육/2· 응급의료 지도의사 양성,  응급의료인력의 전문성 향상을 통해 응급의료서비스의 질향상 도모,(2014년 기준)/1· 중앙응급의료센터/2· 중앙응급의료센터,"1· 현장응급의료종사자 전문화/  : 현직 1,2급 응급구조사, 119구급대, /   구급차 운용자 소속의 간호사/2· 응급의료 지도의사 양성/  : 응급의학과 전문의, 응급의학 전문의 /   3년차 이상"
2015,보건복지부,인구정책과,베이비붐세대 사회참여 지원/ _지역사회 공익형 전문일자리 /  희망자 모집 및 교육훈련,"  노인 단체의 활동 육성·지원, 고령화사회 대비 인력 활용의 효율성 제고","2014년 기준, 한국노인인력개발원 및 컨소시엄 기관",베이비부머(50대~60대 초반)/퇴직(예정)자로 지식과 경륜을 지역사회에/환원할 의향이 있는 자
2015,보건복지부,인구정책과,전문강사양성연수,  인구교육 전문인력을 양성하여 인구교육이 필요한 단체나 기관에 강사 파견,인구보건복지협회,전문대졸 이상 교육희망자
2015,보건복지부,장애인자립/기반과,직업재활 사업수행기관 지원/1· 직업지도/2· 직업적응훈련/3· 직업능력개발훈련,"  취업이 어려운 중증장애인에게 장애 유형 및 욕구를 반영한 직업재활서비스를 /제공하여 중증장애인의 취업 및 사회참여 도모(직업상담, 평가, 직업적응훈련,/취업알선, 취업 후 적응지원 등)","장애인복지관, 직업재활시설, /안마수련원 등",직업능력개발훈련/  : 장애인복지법제2조에 따른 등록장애인/   (만15세 이상)
2015,산림청,산림환경보호과,산림생물자원 관리/ _수목원가드너교육지원,"  수목원 운영 전문화를 위한 수목원전문가(가드너) 육성, 교육 및 고용지원","천리포수목원, /한국식물원수목원협회, /자굴산수목원","①대학교(전문대학 포함) 생물, 원예, 농, 임, /   조경 분야 등 식물 관련학과 2년 이상 /   수료, 졸업 또는 졸업예정자/②고등학교 관련학과 졸업 후 수목원 또는 /   식물 관련분야 근무경력 1년 이상/③관련분야 불문 고졸이상, 수목원 또는 /  식물 관련분야 근무경력 2년 이상/④수목원, 식물원 원장 및 식물 관련농장/   대표의 추천을 받은 자/⑤관련단체 및 관련업종 종사자(NGO, /   조경회사, 종묘회사 등)중 대표의/   추천을 받은 자"
2015,산림청,임업통상팀,수출기반구축_수출전문인력 육성,"  시장개방 가속화에 대응, 임산물의 수출 등에 국제 식견을 갖춘 전문 인력·업체를 /육성하여 우리 임산물의 세계화 도모",외부전문교육기관,수출용 임산물 생산자 및 수출업체 종사자
2015,산림청,해외자원개발담당관,해외산림투자 컨설팅 및 교육 훈련/_교육훈련지원 및 국제심포지엄 개최,  목재바이오매스 시범조림사업 관계자 역량강화 및 민간부분 목재바이오내스 조림/투자 활성화 유도를 위한 교육 실시/  ①인니기관 국내 연수 : 한국의 목재바이오매스 사업 비전 공유/  ②국내기업 현지연수 : 해외산림투자 활성화 유도/  ③현지 작업자 교육 : 목재바이오매스 사업 비전 제시 및 사업이해 증진,녹색사업단,①인니기관 국내연수/  : 인니 기관·기업 실무자 등/②민간기업 현지연수/  : 해외산림투자 진출(희망)기업/③현지 작업자 교육/  : 인니 정부 관계자 및 지역주민 등
2015,산업통상자원부,무역안보과,1· 중소기업 이행지원/ _중소기업 대상 교육·홍보/2· 전략물자 수출관리 제도 확산/ _불법수출 예방을 위한 교육·홍보,"  국제규범인 전략물자 수출통제 제도 교육을 통해 제도 이행을 지원함으로써 우리 /기업의 불의의 피해를 적시에 예방하고, 지속 가능한 수출기반 확보/1· 중소기업 대상 교육·홍보 : 중소기업이 전략물자 제도 미인지로 불법수출에 연루/   되지 않도록 집중 교육 및 홍보를 위한 교육관 운영/2· 불법수출 예방 교육·홍보 : 기업, 연구기관, 대학 등을 대상으로 전략물자 및 전략/  기술 관리제도에 대한 설명회 및 특강을 통한 제도 이행 유도",전략물자관리원,"1· 중소기업 대상 교육, 홍보/ : 전략물자 취급·수출중소기업 중 희망자/2· 불법수출 예방 교육, 홍보/ : 전략물자 및 기술 취급·수출기업, /   연구기관, 대학 중 희망자"
2015,산업통상자원부,무역정책과,1· 지역특화 청년무역 전문가 양성/ _무역전문교육비 /2· 지역특화 청년무역 전문가 양성/ _사업운영비,"  산업과 지역에 대한 전문 역량이 융합된 선진형 무역전문인력을 양성, 무역업계에 공급",전국 4년제 24개 대학,전국 4년제 24개 대학 재학생
2015,산업통상자원부,무역진흥과,전시회 연계 비즈니스 실무자 육성,"  국내·외 전시회 참가기업 연계, 청년인력의 현장중심 실무교육을 통한 글로벌 /비즈니스 실무인재 육성 / · 무역실무, 무역영어, 해외마케팅 등 실무교육을 통해 비즈니스 현장 투입 / · 기업별 인터십 파견을 통한 제품 및 비즈니스 노하우에 대한 심층 교육 / · 국내·외 전시회에 참가를 통한 현장 실무 지원 ",KOTRA / 한국외국어대학교 연구산학협력단,"만 15세 이상~만 34세 이하,/고등학교 또는 대학(전문대)졸업(예정)자, /토익 700점 또는 그에 상응하는 /공인영어성적 보유한 자 "
2015,산업통상자원부,바이오나노과,"1· 레이저 가공 기술 산업화 지원/   센터 구축/ _레이저 장비를 활용한 현장 /  밀착형, 맞춤형 전문기술 인력양성/2· 항공산업특화단지지원/ _항공인력 교육 및 육성","  산업기술거점기관의 기술혁신 역량과 인프라 등을 활용한 기업의 기술경쟁력 제고,/사업화 촉진 및 시장진입 원활화","레이저 가공기술 산업화지원센터,/항공산업특화단지","대학원생, 항공인력교육:재직자"
2015,산업통상자원부,산업기술개발과,한국산업기술평가관리원/ _R&D(지역)교육센터 운영지원,"  산업기술R&D 과제수행 환경개선 및 연구성과 제고, 연구비 유용방지를 위해 R&D /수행자 및 참여희망자를 대상으로 산업기술R&D교육(연구지원전문가교육) 추진/(산업기술R&D 과제수행자 및 참여예정자 또는 희망자 등을 대상으로 R&D 이해도/제고 및 실무지식 습득, 연구윤리 의식 확립을 통한 연구역량 강화를 위해 산업기술/R&D 프로세스 전반에 대해 교육)",한국산업기술평가관리원,산업기술R&D참여자 또는 참여희망자
2015,산업통상자원부,산업기술시장과,1· 산업기술보호 기반구축/ _산업기술보호 역량강화/ _수요맞춤형 보안교육/2· 산업기술보호 기반구축/ _산업기술보호 역량강화/ _CSO 양성 교육,"  산업기술 보유기관의 업종별·규모별·지역별 특성과 수준을 고려한 수요자 맞춤형 /보안 교육 실시 및 지원 확대/1· 수요맞춤형 보안교육: 기업 내 보안관련 임직원을 대상으로 보안 동향 및 기술유출/   사례 및 대응방안 등 산업보안 인식제고 및 확산을 위한 업종별(전기전자, 자동차,/   원자력전력, 조선 등)·지방거점별(경기권, 대구경북권, 부산경남권) 수요맞춤형/   기술 보호 세미나 실시/2· CSO 양성 교육: 기업 보안책임자 및 보안담당자를 대상으로 국내외 보안관리체계/   동향, 기술보호 관련 법률, 보안관리규정 수립 및 보안부서 운영 방안 토론 등 /   산업보안 전반의 실무역량 향상을 위한 수준별 전문가 양성 연수원 합숙 교육과정/   운영",한국산업기술보호협회,1· 수요맞춤형 보안교육/ : 기업 내 보안관련 임직원(재직자)/2· CSO 양성 교육/ : 기업 보안책임자 및 보안담당자(재직자)
2015,산업통상자원부,산업기술시장과,아이디어 팩토리_교육프로그램 운영,  대학생의 창의적 아이디어를 발굴·구체화하여 사업화로 연계될 수 있도록 대학내에 /3D프린터 장비 등을 보유한 실험적 공간 조성/ · 아이디어를 가진 대학생이 대학내 설치된 아이디어팩토리에서 자유롭게 장비를/  활용하여 시제품 제작 등을 통해 아이디어를 구체화/ · 구체화된 아이디어 중 우수한 과제에 대해서는 BI사업화지원기관 등과 연계하여/  고도화 지원,10개 내외의 대학,대학(원)생
2015,산업통상자원부,산업기술정책과,기업의 융합혁신 실천역량 강화 /지원(기술인문융합 혁신 실천 주도 /전문가 과정 운영)/ _에스노그라피(소비자 행동 관찰/  분석 트레이닝)및 퍼실리테이터/  (인문융합형 제품기획 전문가)과정 /  연계운영,"   소비자 행동 관찰 및 인문융합형 상품기획 트레이닝 프로그램 운영/  · 인문융합형 상품기획 트레이닝에 필요한 커리큘럼 기획/  * 고객중심(소비자행동관찰)의 상품서비스 혁신 프로세스, 혁신을 위한 디자인씽킹 /   워크숍, 창의적 아이디어 발상 워크숍, 아이디어 타당성 검증 워크숍, 스토리텔링/    등/ · 기업·연구소의 상품기획·마케팅 담당자 등을 대상으로 교육",한국산업기술진흥원,"중소·중견기업 상품기획 관련자/(제품기획, 마케팅 등)"
2015,산업통상자원부,산업기술정책과,산업기술인력 성공모델 지원,"  기업이 마이스터고 등 고졸인력을 채용, 스위스 본사와 연계된 커리큘럼에 따라 /훈련하고 전문기술인력으로 성장하도록 지원","지역 중소·중견기업, 스위스 직업학교",마이스터고 등 졸업(예정)자
2015,산업통상자원부,산업기술정책과,수요기반의 문제해결 중심형 교육/과정 개발·운영,  산업현장의 애로기술을 대학·기업이 협력하여 공동 해결할 수 있도록 산업체 전용 /실습실구축을 통한 맞춤형 교육기반 구축/ · 중소 제조업체들의 애로해결 지원을 위하여 국가산업단지 내 산업체 전용 실습실/  구축 지원/ · 문제해결 중심형 교육과정 개발·운영 지원,"한국산업기술대학교, 창원대학교,/군산대학교",중소제조업체의 현장기술인력
2015,산업통상자원부,산업기술정책과,연구인력 역량강화,  중소·중견기업 재직 신입 연구인력을 대상으로 공공연구기관의 도제식 교육/(5개월)을 통해 연구역량 강화 및 기술 노하우 전수,국가과학기술연구회,채용 2년 이내 신입 연구인력
2015,산업통상자원부,산업기술정책과,장비 운영인력 역량 강화,"  산업기술개발장비의 공동이용 플랫폼 구축으로 중소·중견기업의 원활한 /기술개발과 기술경쟁력 확보 지원(장비 운영인력 역량강화) 장비전문가 /육성 프로그램 운영, 경력관리, 고용 안정 비용 등 지원",연구기관·대학 등 공동활용장비 보유/기관(사업 수탁기관),"중소·중견기업, 대학, 연구소 내 장비 운영/인력"
